Wall time,Step,Value
1721141427.240170,51200,0.19
1721141432.5175600,102400,0.19
1721141437.816760,153600,0.19
1721141445.255530,204800,0.19
1721141450.7300300,256000,0.19
1721141455.768410,307200,0.19
1721141460.971920,358400,0.19
1721141466.1702400,409600,0.19
1721141471.501660,460800,0.19
1721141479.680860,512000,0.19
1721141485.3294000,563200,0.19
1721141491.018240,614400,0.19
1721141496.78224,665600,0.19
1721141502.8875100,716800,0.19
1721141509.2717100,768000,0.19
1721141515.7985500,819200,0.19
1721141522.555410,870400,0.19
1721141528.994760,921600,0.19
1721141535.472560,972800,0.19
1721141542.313700,1024000,0.19
1721141546.882520,1075200,0.19
1721141558.48352,1126400,0.19
1721141570.450100,1177600,0.19
1721141582.603850,1228800,0.19
1721141594.7436700,1280000,0.19
1721141606.776140,1331200,0.19
1721141618.659800,1382400,0.19
1721141630.844410,1433600,0.19
1721141642.772200,1484800,0.19
1721141654.234180,1536000,0.19
1721141665.9679000,1587200,0.19
1721141672.459410,1638400,0.19
1721141683.7310200,1689600,0.19
1721141691.419110,1740800,0.19
1721141698.737360,1792000,0.19
1721141705.942170,1843200,0.19
1721141713.393160,1894400,0.19
1721141721.70137,1945600,0.19
1721141730.2024200,1996800,0.19
1721141738.8725,2048000,0.19
1721141749.7990300,2099200,0.19
1721141760.969100,2150400,0.19
1721141775.9452500,2201600,0.19
1721141788.7306200,2252800,0.19
1721141799.98256,2304000,0.19
1721141813.928740,2355200,0.19
1721141824.6967400,2406400,0.19
1721141834.950200,2457600,0.19
1721141845.433520,2508800,0.19
1721141855.587580,2560000,0.19
1721141864.3398700,2611200,0.19
1721141879.663120,2662400,0.19
1721141895.219970,2713600,0.19
1721141909.057210,2764800,0.19
1721141922.491270,2816000,0.19
1721141941.530680,2867200,0.19
1721141954.0658500,2918400,0.19
1721141967.987310,2969600,0.19
1721141984.387200,3020800,0.19
1721141998.442620,3072000,0.19
1721142014.8732000,3123200,0.19
1721142025.344900,3174400,0.19
1721142035.0418500,3225600,0.19
1721142046.9912000,3276800,0.19
1721142056.6431100,3328000,0.19
1721142064.65246,3379200,0.19
1721142072.555280,3430400,0.19
1721142080.482330,3481600,0.19
1721142088.5675600,3532800,0.19
1721142096.551890,3584000,0.19
1721142104.859410,3635200,0.19
1721142114.172090,3686400,0.19
1721142123.006800,3737600,0.19
1721142132.1039700,3788800,0.19
1721142141.445570,3840000,0.19
1721142151.4301900,3891200,0.19
1721142161.2633200,3942400,0.19
1721142170.6010400,3993600,0.19
1721142179.773280,4044800,0.19
1721142189.426990,4096000,0.19
1721142195.87241,4147200,0.19
1721142210.3020700,4198400,0.19
1721142227.207150,4249600,0.19
1721142250.894120,4300800,0.19
1721142277.392520,4352000,0.19
1721142311.6730100,4403200,0.19
1721142336.5539900,4454400,0.19
1721142352.624750,4505600,0.19
1721142367.294170,4556800,0.19
1721142382.153000,4608000,0.19
1721142397.8448700,4659200,0.19
1721142406.1499400,4710400,0.19
1721142414.012950,4761600,0.18
1721142422.233140,4812800,0.18
1721142430.412950,4864000,0.18
1721142439.107430,4915200,0.18
1721142446.953330,4966400,0.18
1721142455.821130,5017600,0.18
1721142464.3363300,5068800,0.18
1721142473.4130500,5120000,0.18
1721142482.95133,5171200,0.18
1721142492.748480,5222400,0.18
