Wall time,Step,Value
1722986333.0223300,307200,2355.12158203125
1722986336.944570,358400,3113.350341796880
1722986354.543040,563200,2501.97607421875
1722986359.102590,614400,1754.4163818359400
1722986374.76755,768000,1954.0296630859400
1722986380.763690,819200,1585.6162109375
1722986397.1450700,972800,2368.164794921880
1722986402.689520,1024000,2326.36669921875
1722986409.7066700,1075200,1748.584716796880
1722986435.589780,1280000,1876.500244140630
1722986505.492500,1740800,1735.48193359375
1722986532.992090,1894400,1744.8443603515600
1722986574.31751,2099200,1687.7672119140600
1722986599.1939900,2201600,3318.6591796875
1722986626.128470,2304000,1888.2803955078100
1722986639.552,2355200,3431.98193359375
1722986668.426440,2457600,2927.30419921875
1722986700.2881,2560000,1881.2332763671900
1722986717.052870,2611200,2812.614501953130
1722986771.787230,2764800,1800.912841796880
1722986789.902730,2816000,2183.15380859375
1722986809.1401300,2867200,3397.468017578130
1722986829.86384,2918400,2039.476806640630
1722986849.626040,2969600,2457.914794921880
1722986939.296750,3174400,1475.16357421875
1722986987.438990,3276800,2503.939697265630
1722987038.326050,3379200,1815.8087158203100
1722987064.019420,3430400,2223.7060546875
1722987091.9672300,3481600,4136.70458984375
1722987119.509350,3532800,2105.541748046880
1722987208.651840,3686400,1564.4156494140600
1722987239.271580,3737600,1865.9259033203100
1722987271.677020,3788800,3121.87890625
1722987304.4889000,3840000,2063.51416015625
1722987484.0305000,4096000,1789.2415771484400
1722987686.784700,4352000,1970.6641845703100
1722987818.1618600,4505600,1507.78125
1722987863.7683200,4556800,1505.850341796880
1722988161.875550,4864000,1231.0830078125
1722988462.910620,5273600,5255.9345703125
1722988493.681440,5427200,5216.005859375
1722988503.5540000,5478400,5293.248046875
1722988575.997440,5836800,4808.49267578125
1722988607.019500,5990400,5164.9404296875
1722988626.889140,6092800,4731.501953125
1722988689.893700,6400000,5110.083984375
1722988700.947180,6451200,4725.48681640625
1722988711.257580,6502400,5401.8447265625
1722988743.2849400,6656000,4878.2998046875
1722988755.072180,6707200,4226.68603515625
1722988831.397200,7065600,4524.5126953125
1722988853.121670,7168000,4411.33740234375
1722988873.844520,7270400,4965.15869140625
1722988883.958520,7321600,4542.60205078125
1722988893.931990,7372800,4817.5439453125
1722988905.474730,7424000,4840.61572265625
1722988967.72347,7731200,3100.64208984375
1722988987.6106300,7987200,1749.9364013671900
1722988998.1041100,8089600,1805.28173828125
1722989002.3938100,8140800,3794.873779296880
1722989006.8587700,8192000,3535.0615234375
1722989020.779660,8345600,3998.10302734375
1722989037.660330,8499200,2642.05859375
1722989048.419350,8601600,1478.01123046875
1722989055.397490,8652800,1897.071533203130
1722989072.953680,8806400,2249.0078125
1722989106.703,9062400,2195.9033203125
1722989114.750150,9113600,2480.017333984380
1722989122.68832,9164800,1477.977294921880
1722989138.315580,9267200,2113.90478515625
1722989164.7931300,9420800,1837.8614501953100
1722989183.92984,9523200,2030.5799560546900
1722989193.286980,9574400,1888.8927001953100
1722989213.828430,9676800,2239.0771484375
1722989236.343300,9779200,1561.7852783203100
1722989248.3879500,9830400,1706.2691650390600
1722989346.6036800,10188800,1922.1370849609400
1722989490.9996000,10598400,1888.38525390625
1722989512.156390,10649600,1539.75732421875
1722989533.426430,10700800,1877.8360595703100
1722989625.130370,10905600,1862.717529296880
1722989782.3418900,11212800,2357.05126953125
1722989902.878810,11417600,2997.39599609375
1722989935.368200,11468800,2144.548583984380
1722990001.5386700,11571200,2102.884765625
1722990071.4010000,11673600,2205.85888671875
1722990146.4402000,11776000,2695.323974609380
1722990264.956110,11929600,2309.2431640625
1722990305.967880,11980800,1767.388671875
1722990348.2548900,12032000,1921.0096435546900
1722990478.8136300,12185600,3345.6572265625
1722990991.2116400,12697600,2882.65283203125
1722991105.887230,12800000,2114.10302734375
1722991165.144900,13107200,4448.1162109375
1722991195.715790,13260800,3797.504150390630
1722991205.696310,13312000,4428.32861328125
1722991215.605600,13363200,4735.994140625
1722991226.755390,13414400,4449.32080078125
1722991246.590420,13516800,4764.78564453125
1722991287.796040,13721600,4747.99072265625
1722991307.831730,13824000,4660.40869140625
1722991328.371330,13926400,4695.90771484375
1722991349.20794,14028800,5606.09765625
1722991401.2927800,14284800,4840.03369140625
1722991421.335980,14387200,5023.18896484375
1722991463.0492200,14592000,5127.69580078125
1722991534.308750,14950400,4955.0458984375
1722991544.202800,15001600,4676.3837890625
1722991595.798030,15257600,5566.77001953125
1722991605.6723600,15308800,5330.27392578125
1722991616.477620,15360000,5528.78466796875
1722991630.124800,15462400,4090.544677734380
1722991633.882610,15513600,2972.269287109380
1722991637.866270,15564800,3953.61328125
1722991655.514500,15769600,1893.5775146484400
1722991659.702450,15820800,3907.232666015630
1722991668.66402,15923200,3716.118896484380
1722991684.325240,16076800,3390.0361328125
1722991707.27189,16281600,4347.99755859375
1722991712.557230,16332800,3405.27587890625
1722991718.075820,16384000,2093.3779296875
1722991723.752090,16435200,1859.76416015625
1722991737.225960,16537600,1889.3709716796900
1722991755.977860,16691200,3803.276611328130
1722991763.9805800,16742400,4419.85205078125
1722991771.1459000,16793600,3717.231689453130
1722991795.255470,16947200,2080.21826171875
1722991803.41587,16998400,3950.100341796880
1722991820.9726300,17100800,3348.93798828125
1722991880.1421800,17408000,3789.351318359380
1722991904.253650,17510400,3671.504638671880
1722991945.587990,17664000,2333.035888671880
1722991959.392780,17715200,3435.605224609380
1722991989.37088,17817600,1755.3853759765600
1722992005.6817000,17868800,3620.937744140630
1722992095.8798000,18124800,2218.285400390630
1722992114.512950,18176000,2151.513427734380
1722992200.4083800,18380800,2837.7275390625
1722992248.4132500,18483200,3364.516845703130
1722992324.3741300,18636800,4319.171875
1722992438.317750,18841600,2078.66162109375
1722992565.0455000,19046400,3950.123046875
1722992635.137560,19148800,3076.66015625
1722992786.7167500,19353600,3190.407470703130
1722992827.359380,19404800,1912.478759765630
1722992868.644410,19456000,3568.60791015625
1722992954.5362800,19558400,4022.1396484375
1722993004.047070,19609600,2093.330810546880
1722993194.867570,19814400,3748.685791015630
1722993245.735190,19865600,3525.053955078130
1722993297.131740,19916800,2142.58447265625
1722993459.583150,20070400,3916.481201171880
1722993515.946030,20121600,4247.4306640625
1722993572.7068600,20172800,3142.258056640630
1722993988.3467000,20684800,5343.46484375
1722994041.719180,20940800,5149.38671875
1722994115.393570,21299200,4791.73193359375
1722994125.526920,21350400,4629.94091796875
1722994178.62791,21606400,5145.99560546875
1722994188.684040,21657600,4834.013671875
1722994210.3675400,21760000,4773.62939453125
1722994231.8884400,21862400,4887.564453125
1722994274.108010,22067200,5475.8671875
1722994370.01845,22528000,5401.91064453125
1722994381.207730,22579200,5703.767578125
1722994391.101130,22630400,5083.67529296875
1722994401.728230,22681600,5483.83837890625
1722994433.21431,22835200,5026.68505859375
1722994489.666760,23142400,3187.5966796875
1722994519.289280,23500800,4229.638671875
1722994523.786550,23552000,3505.105712890630
1722994529.225720,23603200,3502.319580078130
1722994534.302780,23654400,3791.09521484375
1722994544.032480,23756800,2539.277099609380
1722994549.256860,23808000,2224.634033203130
1722994566.970060,23961600,4148.36376953125
1722994572.229290,24012800,3258.775390625
1722994602.6299300,24268800,3625.4873046875
1722994608.75122,24320000,3764.441162109380
1722994637.2084400,24524800,2829.076171875
1722994697.036570,24883200,3016.09765625
1722994727.187780,25036800,3910.68994140625
1722994738.2266900,25088000,4156.69580078125
1722994762.47441,25190400,3930.897705078130
1722994788.988490,25292800,3291.093994140630
1722994832.301760,25446400,3025.992431640630
1722995033.332610,26009600,3184.05419921875
1722995103.9287500,26163200,3541.221435546880
1722995127.819490,26214400,4154.154296875
1722995152.647310,26265600,3837.351806640630
1722995205.282480,26368000,3407.643798828130
1722995262.527140,26470400,4031.82470703125
1722995292.4786900,26521600,4010.270263671880
1722995354.473980,26624000,3779.407958984380
1722995527.065860,26880000,3688.554443359380
1722995564.1138100,26931200,3454.20458984375
1722995811.8596000,27238400,3475.468505859380
1722995908.576550,27340800,2779.662841796880
1722995956.622610,27392000,3697.6943359375
1722996005.7200400,27443200,4209.07568359375
1722996055.081880,27494400,4125.5185546875
1722996107.243840,27545600,3567.574462890630
1722996159.2202500,27596800,2879.382568359380
1722996266.595990,27699200,4456.33984375
1722996322.919500,27750400,2872.7626953125
1722996380.4235500,27801600,3511.283447265630
1722996685.9159600,28057600,3762.831787109380
1722996752.33889,28108800,4857.66748046875
1722996820.238250,28160000,3777.544921875
1722996835.455450,28262400,6769.6455078125
1722996878.8000700,28467200,7640.61083984375
1722996898.846500,28569600,5863.34033203125
1722996919.237210,28672000,6552.48583984375
1722996959.815340,28876800,6802.65478515625
1722996970.910070,28928000,5319.46923828125
1722996980.860470,28979200,5440.46728515625
1722997021.333470,29184000,5682.306640625
1722997062.866330,29388800,5505.83837890625
1722997073.074640,29440000,6335.224609375
1722997103.7464600,29593600,7403.51220703125
1722997125.409330,29696000,7611.0771484375
1722997135.385530,29747200,6372.36279296875
1722997146.139220,29798400,7367.3154296875
1722997156.101580,29849600,7670.01513671875
1722997166.036610,29900800,7202.77783203125
1722997177.432300,29952000,7465.77783203125
1722997197.47947,30054400,7553.056640625
1722997208.019010,30105600,7960.642578125
1722997259.000940,30361600,6955.4287109375
1722997269.485660,30412800,7443.3779296875
1722997300.618850,30566400,6603.76708984375
1722997310.656,30617600,7072.5439453125
1722997341.905930,30771200,4254.09912109375
1722997349.404430,30873600,2300.474853515630
1722997367.3641900,31078400,1977.298828125
1722997375.777810,31180800,3930.802001953130
1722997385.3365800,31283200,2909.7705078125
1722997395.3240900,31385600,4424.82861328125
1722997411.4572600,31539200,2849.05078125
1722997434.480100,31744000,3810.244384765630
1722997439.971990,31795200,3933.608642578130
1722997453.180240,31897600,4255.69970703125
1722997472.043030,32051200,2202.068115234380
1722997501.399070,32256000,3542.384765625
1722997544.820190,32512000,4671.62841796875
1722997617.7368600,32870400,4050.27099609375
1722997630.915230,32921600,4814.66650390625
1722997657.653770,33024000,3942.1318359375
1722997671.420230,33075200,2126.66015625
1722997686.644560,33126400,4595.935546875
1722997701.619620,33177600,4359.06982421875
1722997717.432270,33228800,3973.281005859380
1722997733.575900,33280000,3413.266845703130
1722997786.520290,33433600,3372.6142578125
1722997864.9967400,33638400,2023.125244140630
1722997886.721890,33689600,4212.86669921875
1722997979.866300,33894400,1856.601806640630
1722998058.477860,34048000,3911.55322265625
1722998115.491480,34150400,3008.28271484375
1722998144.839690,34201600,4187.28857421875
1722998175.479680,34252800,4346.53271484375
1722998270.764820,34406400,3563.144287109380
1722998303.763760,34457600,3137.254150390630
1722998338.826430,34508800,5547.3896484375
1722998376.4552400,34560000,3145.369140625
1722998414.174270,34611200,3922.049560546880
1722998492.471170,34713600,2851.9375
1722998534.038970,34764800,4228.1689453125
1722998575.128930,34816000,4646.98583984375
1722998661.643920,34918400,3988.37939453125
1722998710.26,34969600,3351.219970703130
1722998756.483380,35020800,3231.297607421880
1722998804.861150,35072000,3497.126220703130
1722998854.083270,35123200,4525.2041015625
1722998904.43377,35174400,4391.1123046875
1722999009.017920,35276800,3686.361083984380
1722999062.6474000,35328000,4260.55810546875
1722999478.6618600,35686400,4170.65234375
1722999677.180040,35840000,4949.5654296875
1722999682.583590,35891200,7257.23095703125
1722999692.9649200,35942400,5848.30078125
1722999715.791480,36044800,6828.97314453125
1722999746.829280,36198400,7069.53662109375
1722999768.388510,36300800,7884.3271484375
1722999788.2944600,36403200,6863.09521484375
1722999829.9906800,36608000,7440.4814453125
1722999870.34161,36812800,6378.66943359375
1722999881.309930,36864000,6461.44189453125
1722999901.874680,36966400,6261.01708984375
1722999912.700060,37017600,5466.28564453125
1722999922.866510,37068800,6242.27294921875
1722999932.8144100,37120000,6238.69921875
1722999944.316080,37171200,6146.8427734375
1722999995.57073,37427200,6494.86474609375
1723000057.9157200,37734400,6343.30712890625
1723000079.535540,37836800,6807.24072265625
1723000089.4417100,37888000,6183.37158203125
1723000099.9920000,37939200,6758.0908203125
1723000109.865450,37990400,7015.16552734375
1723000130.42691,38092800,6001.04296875
1723000161.747310,38246400,6068.80810546875
1723000171.788850,38297600,7140.60986328125
1723000202.4794700,38451200,4339.25732421875
1723000206.1444900,38502400,3506.31591796875
1723000210.026620,38553600,5171.97802734375
1723000218.9309900,38656000,3105.51953125
1723000227.01103,38758400,2416.010498046880
1723000255.609000,39065600,2083.39794921875
1723000271.5418000,39219200,1904.5791015625
1723000278.004310,39270400,4178.36083984375
1723000293.872800,39424000,1759.286376953130
1723000299.34372,39475200,2138.5595703125
1723000307.08052,39526400,7251.6796875
1723000319.203190,39628800,4011.33984375
1723000325.3181500,39680000,2260.6220703125
1723000332.17377,39731200,2187.128662109380
1723000370.177400,39987200,2830.4912109375
1723000404.377410,40192000,2286.723876953130
1723000413.2871200,40243200,3348.909912109380
1723000434.145960,40345600,4030.007080078130
1723000455.161460,40448000,4756.46337890625
1723000478.5477200,40550400,2203.190185546880
1723000492.648110,40601600,3687.005615234380
1723000505.415990,40652800,3720.57666015625
1723000519.641440,40704000,2777.098876953130
1723000533.402270,40755200,3389.98486328125
1723000549.445400,40806400,2825.792236328130
1723000580.151150,40908800,3449.12548828125
1723000614.4155400,41011200,3339.8564453125
1723000650.173170,41113600,4591.12744140625
1723000709.5764000,41267200,5178.16162109375
1723000753.301500,41369600,4837.29443359375
1723000775.443900,41420800,3293.095703125
1723000799.513570,41472000,5196.4873046875
1723000900.967720,41676800,4140.603515625
1723000956.750510,41779200,3700.542724609380
1723000985.656430,41830400,4766.93994140625
1723001047.418800,41932800,4672.00048828125
1723001148.5365,42086400,2610.32373046875
1723001297.108410,42291200,4228.4638671875
1723001419.745090,42444800,3019.66357421875
1723001551.1932000,42598400,2451.701904296880
1723001602.2300800,42649600,3190.19921875
1723001698.594710,42752000,4557.0693359375
1723001799.7917400,42854400,3772.453125
1723001908.857560,42956800,2282.781494140630
1723002203.410420,43212800,3933.065673828130
1723002329.366320,43315200,3648.509765625
1723002391.329020,43366400,3741.181640625
1723002459.047790,43417600,2898.914306640630
1723002525.724400,43468800,2589.463623046880
1723002611.900470,43622400,5428.19970703125
1723002676.266470,43929600,6171.49072265625
1723002697.2106900,44032000,5982.185546875
1723002708.606360,44083200,6017.74755859375
1723002719.6699900,44134400,4960.23779296875
1723002740.782970,44236800,4195.75390625
1723002782.975610,44441600,5575.41943359375
1723002803.78352,44544000,5770.50634765625
1723002813.718570,44595200,5383.57763671875
1723002855.126800,44800000,5305.353515625
1723002865.9783500,44851200,5262.20068359375
1723002875.903240,44902400,5216.80810546875
1723002885.8195800,44953600,5017.70068359375
1723002917.3338900,45107200,6094.04541015625
1723002928.3111,45158400,6350.796875
1723002938.303080,45209600,5806.63134765625
1723002960.09724,45312000,6146.59716796875
1723002991.1151900,45465600,5174.00927734375
1723003012.7739100,45568000,6082.0087890625
1723003022.897970,45619200,6190.46337890625
1723003043.75904,45721600,7071.80126953125
1723003053.686120,45772800,6040.25
1723003085.164,45926400,6968.9951171875
1723003115.873890,46080000,6215.97119140625
1723003125.8644400,46131200,5195.9775390625
1723003154.703420,46489600,4472.4423828125
1723003160.3458300,46540800,4160.72216796875
1723003165.8170400,46592000,5311.97119140625
1723003170.400130,46643200,3968.5927734375
1723003174.9930700,46694400,6635.65869140625
1723003179.861840,46745600,4088.9521484375
1723003184.8481200,46796800,2561.24072265625
1723003197.291470,46899200,5328.16455078125
1723003203.15535,46950400,4902.146484375
1723003208.730150,47001600,3897.520263671880
1723003229.724200,47155200,3074.89453125
1723003236.413170,47206400,2597.708251953130
1723003242.977060,47257600,4089.75244140625
1723003250.597080,47308800,2272.718994140630
1723003265.6679500,47411200,2428.867919921880
1723003316.0049600,47718400,5341.77587890625
1723003324.339440,47769600,4512.6240234375
1723003353.8988100,47923200,2097.93896484375
1723003436.722370,48281600,4053.984130859380
1723003480.135260,48435200,2705.708251953130
1723003602.8728800,48793600,2351.63037109375
1723003623.375140,48844800,5069.6953125
1723003644.874770,48896000,4093.383056640630
1723003687.041090,48998400,3196.349853515630
1723003711.028240,49049600,2236.94091796875
1723003734.112460,49100800,5264.966796875
1723003808.0568100,49254400,3817.637451171880
1723003835.271230,49305600,4171.88232421875
1723003890.2995800,49408000,2797.84326171875
1723003949.974040,49510400,4056.269287109380
1723003981.0719700,49561600,1937.5946044921900
1723004113.536150,49766400,2128.089111328130
1723004148.829700,49817600,4358.6875
1723004303.8426400,50022400,3881.3232421875
1723004344.645570,50073600,3466.97509765625
1723004386.016190,50124800,4148.7958984375
1723004430.473130,50176000,2122.722900390630
1723004568.554240,50329600,3509.059814453130
1723004617.860600,50380800,4306.25537109375
1723004667.265250,50432000,2246.39697265625
1723004821.376340,50585600,4358.7060546875
1723004875.576430,50636800,4666.6484375
1723005349.737550,51046400,3921.22314453125
1723005551.189990,51200000,3198.3056640625
1723005556.399200,51251200,6714.23486328125
