Wall time,Step,Value
1722986333.0223300,307200,0.17
1722986336.944570,358400,0.17
1722986354.543040,563200,0.17
1722986359.102590,614400,0.17
1722986374.76755,768000,0.17
1722986380.763690,819200,0.17
1722986397.1450700,972800,0.17
1722986402.689520,1024000,0.17
1722986409.7066700,1075200,0.17
1722986435.589780,1280000,0.17
1722986505.492500,1740800,0.17
1722986532.992090,1894400,0.17
1722986574.31751,2099200,0.17
1722986599.1939900,2201600,0.17
1722986626.128470,2304000,0.17
1722986639.552,2355200,0.17
1722986668.426440,2457600,0.17
1722986700.2881,2560000,0.17
1722986717.052870,2611200,0.17
1722986771.787230,2764800,0.17
1722986789.902730,2816000,0.17
1722986809.1401300,2867200,0.17
1722986829.86384,2918400,0.17
1722986849.626040,2969600,0.17
1722986939.296750,3174400,0.17
1722986987.438990,3276800,0.17
1722987038.326050,3379200,0.17
1722987064.019420,3430400,0.17
1722987091.9672300,3481600,0.17
1722987119.509350,3532800,0.17
1722987208.651840,3686400,0.17
1722987239.271580,3737600,0.17
1722987271.677020,3788800,0.17
1722987304.4889000,3840000,0.17
1722987484.0305000,4096000,0.17
1722987686.784700,4352000,0.17
1722987818.1618600,4505600,0.17
1722987863.7683200,4556800,0.17
1722988161.875550,4864000,0.17
1722988462.910620,5273600,0.17
1722988493.681440,5427200,0.17
1722988503.5540000,5478400,0.17
1722988575.997440,5836800,0.17
1722988607.019500,5990400,0.17
1722988626.889140,6092800,0.17
1722988689.893700,6400000,0.17
1722988700.947180,6451200,0.17
1722988711.257580,6502400,0.17
1722988743.2849400,6656000,0.17
1722988755.072180,6707200,0.17
1722988831.397200,7065600,0.17
1722988853.121670,7168000,0.17
1722988873.844520,7270400,0.17
1722988883.958520,7321600,0.17
1722988893.931990,7372800,0.17
1722988905.474730,7424000,0.17
1722988967.72347,7731200,0.17
1722988987.6106300,7987200,0.17
1722988998.1041100,8089600,0.17
1722989002.3938100,8140800,0.17
1722989006.8587700,8192000,0.17
1722989020.779660,8345600,0.17
1722989037.660330,8499200,0.17
1722989048.419350,8601600,0.17
1722989055.397490,8652800,0.17
1722989072.953680,8806400,0.17
1722989106.703,9062400,0.17
1722989114.750150,9113600,0.17
1722989122.68832,9164800,0.17
1722989138.315580,9267200,0.17
1722989164.7931300,9420800,0.17
1722989183.92984,9523200,0.17
1722989193.286980,9574400,0.17
1722989213.828430,9676800,0.17
1722989236.343300,9779200,0.17
1722989248.3879500,9830400,0.17
1722989346.6036800,10188800,0.17
1722989490.9996000,10598400,0.17
1722989512.156390,10649600,0.17
1722989533.426430,10700800,0.17
1722989625.130370,10905600,0.17
1722989782.3418900,11212800,0.17
1722989902.878810,11417600,0.17
1722989935.368200,11468800,0.17
1722990001.5386700,11571200,0.17
1722990071.4010000,11673600,0.17
1722990146.4402000,11776000,0.17
1722990264.956110,11929600,0.17
1722990305.967880,11980800,0.17
1722990348.2548900,12032000,0.17
1722990478.8136300,12185600,0.17
1722990991.2116400,12697600,0.17
1722991105.887230,12800000,0.17
1722991165.144900,13107200,0.17
1722991195.715790,13260800,0.17
1722991205.696310,13312000,0.17
1722991215.605600,13363200,0.17
1722991226.755390,13414400,0.17
1722991246.590420,13516800,0.17
1722991287.796040,13721600,0.17
1722991307.831730,13824000,0.17
1722991328.371330,13926400,0.17
1722991349.20794,14028800,0.17
1722991401.2927800,14284800,0.17
1722991421.335980,14387200,0.17
1722991463.0492200,14592000,0.17
1722991534.308750,14950400,0.17
1722991544.202800,15001600,0.17
1722991595.798030,15257600,0.17
1722991605.6723600,15308800,0.17
1722991616.477620,15360000,0.17
1722991630.124800,15462400,0.17
1722991633.882610,15513600,0.17
1722991637.866270,15564800,0.17
1722991655.514500,15769600,0.17
1722991659.702450,15820800,0.17
1722991668.66402,15923200,0.17
1722991684.325240,16076800,0.17
1722991707.27189,16281600,0.17
1722991712.557230,16332800,0.17
1722991718.075820,16384000,0.17
1722991723.752090,16435200,0.17
1722991737.225960,16537600,0.17
1722991755.977860,16691200,0.17
1722991763.9805800,16742400,0.17
1722991771.1459000,16793600,0.17
1722991795.255470,16947200,0.17
1722991803.41587,16998400,0.17
1722991820.9726300,17100800,0.17
1722991880.1421800,17408000,0.17
1722991904.253650,17510400,0.17
1722991945.587990,17664000,0.17
1722991959.392780,17715200,0.17
1722991989.37088,17817600,0.17
1722992005.6817000,17868800,0.17
1722992095.8798000,18124800,0.17
1722992114.512950,18176000,0.17
1722992200.4083800,18380800,0.17
1722992248.4132500,18483200,0.17
1722992324.3741300,18636800,0.17
1722992438.317750,18841600,0.17
1722992565.0455000,19046400,0.17
1722992635.137560,19148800,0.17
1722992786.7167500,19353600,0.17
1722992827.359380,19404800,0.17
1722992868.644410,19456000,0.17
1722992954.5362800,19558400,0.17
1722993004.047070,19609600,0.17
1722993194.867570,19814400,0.17
1722993245.735190,19865600,0.17
1722993297.131740,19916800,0.17
1722993459.583150,20070400,0.17
1722993515.946030,20121600,0.17
1722993572.7068600,20172800,0.17
1722993988.3467000,20684800,0.17
1722994041.719180,20940800,0.17
1722994115.393570,21299200,0.17
1722994125.526920,21350400,0.17
1722994178.62791,21606400,0.17
1722994188.684040,21657600,0.17
1722994210.3675400,21760000,0.17
1722994231.8884400,21862400,0.17
