Wall time,Step,Value
1723321064.080980,307200,0.19
1723321112.268580,819200,0.19
1723321128.109740,972800,0.19
1723321165.434990,1280000,0.19
1723321350.760220,2099200,0.19
1723321383.5778700,2201600,0.19
1723321418.064710,2304000,0.19
1723321436.615220,2355200,0.19
1723321474.120390,2457600,0.19
1723321609.048160,2764800,0.19
1723321685.509410,2918400,0.19
1723321963.568010,3379200,0.19
1723322197.833590,3686400,0.19
1723322240.601940,3737600,0.19
1723322282.951790,3788800,0.19
1723322323.540740,3840000,0.19
1723322550.90309,4096000,0.19
1723322979.0759400,4505600,0.19
1723323397.1791800,4864000,0.19
1723323763.174860,5273600,0.19
1723323797.4085600,5427200,0.19
1723323810.391250,5478400,0.19
1723323890.8998300,5836800,0.19
1723323947.164320,6092800,0.19
1723324040.383140,6502400,0.19
1723324086.800620,6707200,0.19
1723324187.447820,7168000,0.19
1723324311.701780,7731200,0.19
1723324335.5337500,7987200,0.19
1723324350.7133000,8140800,0.19
1723324400.634240,8601600,0.19
1723324407.3943700,8652800,0.19
1723324479.162320,9164800,0.19
1723324523.227230,9420800,0.19
1723324542.8047800,9523200,0.19
1723324552.594760,9574400,0.19
1723324598.210850,9779200,0.19
1723324714.258250,10188800,0.19
1723324866.9072900,10598400,0.19
1723324889.8909400,10649600,0.19
1723324912.114520,10700800,0.19
1723325012.7167200,10905600,0.19
1723325358.649650,11468800,0.19
1723325595.2098000,11776000,0.19
1723325828.783860,12032000,0.19
1723325979.819690,12185600,0.19
1723326689.568820,12800000,0.19
1723326746.964710,13107200,0.19
1723326798.2974700,13363200,0.19
1723326828.559560,13516800,0.19
1723326868.60462,13721600,0.19
1723326909.411870,13926400,0.19
1723326929.3845800,14028800,0.19
1723327122.834530,15001600,0.19
1723327174.17968,15257600,0.19
1723327184.166430,15308800,0.19
1723327216.2496400,15564800,0.19
1723327237.9000200,15820800,0.19
1723327246.763950,15923200,0.19
1723327288.7288200,16332800,0.19
1723327294.947220,16384000,0.19
1723327332.152590,16691200,0.19
1723327338.680450,16742400,0.19
1723327345.445330,16793600,0.19
1723327368.187480,16947200,0.19
1723327450.775160,17408000,0.19
1723327557.691870,17817600,0.19
1723327889.528950,18636800,0.19
1723328017.220190,18841600,0.19
1723328212.927920,19148800,0.19
1723328365.547010,19353600,0.19
1723328446.518290,19456000,0.19
1723329038.4514400,20070400,0.19
1723329095.1532500,20121600,0.19
1723329604.83313,20940800,0.19
1723329733.550240,21606400,0.19
1723329743.667720,21657600,0.19
